Sensor,产品名,数字球机类型,xml,公共参数节点名,AWB自研CALI,Reserved
IMX274,IPC332L,IPC,default_pic_IPC2122LR3_IMX274.xml,IPC2122LR3_IMX274,NULL,NULL
IMX274,IPC3618LR3,IPC,default_pic_IPC2122LR3_IMX274.xml,IPC2122LR3_IMX274,NULL,NULL
IMX274,IPC328LR3,IPC,default_pic_IPC2122LR3_IMX274.xml,IPC2122LR3_IMX274,NULL,NULL
IMX274,IPC2128LR3,IPC,default_pic_IPC2122LR3_IMX274.xml,IPC2122LR3_IMX274,NULL,NULL
,,,,,,
SC8238,IPC2128LR3,IPC,default_pic_IPC2122LR3_SC8238.xml,IPC2122LR3_SC8238,NULL,NULL
SC8238,IPC3618LR3,IPC,default_pic_IPC2122LR3_SC8238.xml,IPC2122LR3_SC8238,NULL,NULL
SC8238,IPC328LR3,IPC,default_pic_IPC2122LR3_SC8238.xml,IPC2122LR3_SC8238,NULL,NULL
SC8238,IPC3616LR3,IPC,default_pic_IPC2122LR3_SC8238.xml,IPC2122LR3_SC8238,NULL,NULL
SC8238,IPC-T118,IPC,default_pic_IPC2122LR3_SC8238.xml,IPC2122LR3_SC8238,NULL,NULL
,,,,,,
SC4238,IPC2124SR3,IPC,default_pic_IPC2124LR3_SC4238.xml,IPC2124LR3_SC4238,NULL,NULL
SC4238,IPC324SR3,IPC,default_pic_IPC2124LR3_SC4238.xml,IPC2124LR3_SC4238,NULL,NULL
SC4238,IPC3614SR3,IPC,default_pic_IPC2124LR3_SC4238.xml,IPC2124LR3_SC4238,NULL,NULL
SC4238,IPC354SR3,IPC,default_pic_IPC2124LR3_SC4238.xml,IPC2124LR3_SC4238,NULL,NULL
SC4238,IPC3634SR3,IPC,default_pic_IPC2124LR3_SC4238.xml,IPC2124LR3_SC4238,NULL,NULL
SC4238,IPC3534SR3,IPC,default_pic_IPC2124LR3_SC4238.xml,IPC2124LR3_SC4238,NULL,NULL
SC4238,IPC2324SBR5,IPC,default_pic_IPC2124LR3_SC4238.xml,IPC2124LR3_SC4238,NULL,NULL
,,,,,,
SC500AI,IPC2124SR3,IPC,default_pic_IPC2124LR3_SC500AI.xml,IPC2124LR3_SC500AI,NULL,NULL
SC500AI,IPC324SR3,IPC,default_pic_IPC2124LR3_SC500AI.xml,IPC2124LR3_SC500AI,NULL,NULL
SC500AI,IPC3614SR3,IPC,default_pic_IPC2124LR3_SC500AI.xml,IPC2124LR3_SC500AI,NULL,NULL
SC500AI,IPC354SR3,IPC,default_pic_IPC2124LR3_SC500AI.xml,IPC2124LR3_SC500AI,NULL,NULL
SC500AI,IPC3634SR3,IPC,default_pic_IPC2124LR3_SC500AI.xml,IPC2124LR3_SC500AI,NULL,NULL
SC500AI,IPC3534SR3,IPC,default_pic_IPC2124LR3_SC500AI.xml,IPC2124LR3_SC500AI,NULL,NULL
SC500AI,IPC2324SBR5,IPC,default_pic_IPC2124LR3_SC500AI.xml,IPC2124LR3_SC500AI,NULL,NULL
,,,,,,
SC5238,IPC2125SR3,IPC,default_pic_IPC2125LR3_SC5238.xml,IPC2125LR3_SC5238,NULL,NULL
SC5238,IPC325SR3,IPC,default_pic_IPC2125LR3_SC5238.xml,IPC2125LR3_SC5238,NULL,NULL
SC5238,IPC3615SR3,IPC,default_pic_IPC2125LR3_SC5238.xml,IPC2125LR3_SC5238,NULL,NULL
SC5238,IPC3635SR3,IPC,default_pic_IPC2125LR3_SC5238.xml,IPC2125LR3_SC5238,NULL,NULL
SC5238,IPC3535SR3,IPC,default_pic_IPC2125LR3_SC5238.xml,IPC2125LR3_SC5238,NULL,NULL
SC5238,IPC2325SBR5,IPC,default_pic_IPC2125LR3_SC5238.xml,IPC2125LR3_SC5238,NULL,NULL
,,,,,,
OS05A20,IPC3635SR3,IPC,default_pic_IPC2125LR3_OS05A20.xml,IPC2125LR3_OS05A20,NULL,NULL
OS05A20,IPC3535SR3,IPC,default_pic_IPC2125LR3_OS05A20.xml,IPC2125LR3_OS05A20,NULL,NULL
OS05A20,IPC2325SBR5,IPC,default_pic_IPC2125LR3_OS05A20.xml,IPC2125LR3_OS05A20,NULL,NULL
OS05A20,IPC2125SR3,IPC,default_pic_IPC2125LR3_OS05A20.xml,IPC2125LR3_OS05A20,NULL,NULL
OS05A20,IPC3615SR3,IPC,default_pic_IPC2125LR3_OS05A20.xml,IPC2125LR3_OS05A20,NULL,NULL
OS05A20,IPC325SR3,IPC,default_pic_IPC2125LR3_OS05A20.xml,IPC2125LR3_OS05A20,NULL,NULL
,,,,,,
,,,,,,
NotFound,UNIPC-C,IPC,default_pic_IPC2122LR3_IMX274.xml,IPC2122LR3_IMX274,NULL,NULL
